DATASET: CARD
Family	True_Pos	Res_hits	Rel_Seqs	Precision	Recall
MB-RF144	3	3	4	1.0	0.75
MB-RF145	51	51	51	1.0	1.0
MB-RF146	1	1	1	1.0	1.0
MB-RF147	3	3	3	1.0	1.0
MB-RF148	2	2	2	1.0	1.0
MB-RF149	4	4	4	1.0	1.0
MB-RF150	2	2	2	1.0	1.0
MB-RF151	6	6	6	1.0	1.0
MB-RF152	12	12	12	1.0	1.0
MB-RF153	11	11	11	1.0	1.0
MB-RF154	6	6	6	1.0	1.0
MB-RF155	2	2	2	1.0	1.0
MB-RF156	7	7	7	1.0	1.0
MB-RF157	6	6	6	1.0	1.0
MB-RF158	2	2	2	1.0	1.0
MB-RF159	18	18	18	1.0	1.0
MB-RF160	39	39	39	1.0	1.0
